
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0
[frame_148.zeroDeg.bin] Took 0.106496 ms.
[frame_149.zeroDeg.bin] Took 0.106496 ms.
[frame_150.zeroDeg.bin] Took 0.106496 ms.
[frame_151.zeroDeg.bin] Took 0.083968 ms.
[frame_152.zeroDeg.bin] Took 0.113248 ms.
[frame_153.zeroDeg.bin] Took 0.106560 ms.
[frame_154.zeroDeg.bin] Took 0.106592 ms.
[frame_155.zeroDeg.bin] Took 0.107840 ms.
[frame_156.zeroDeg.bin] Took 0.138304 ms.
[frame_157.zeroDeg.bin] Took 0.106272 ms.
[frame_158.zeroDeg.bin] Took 0.106240 ms.
[frame_159.zeroDeg.bin] Took 0.106304 ms.
[frame_160.zeroDeg.bin] Took 0.106496 ms.
[frame_161.zeroDeg.bin] Took 0.122816 ms.
[frame_162.zeroDeg.bin] Took 0.108064 ms.
[frame_163.zeroDeg.bin] Took 0.077184 ms.
[frame_164.zeroDeg.bin] Took 0.106464 ms.
[frame_165.zeroDeg.bin] Took 0.107648 ms.
[frame_166.zeroDeg.bin] Took 0.117344 ms.
[frame_167.zeroDeg.bin] Took 0.106624 ms.
[frame_168.zeroDeg.bin] Took 0.106912 ms.
[frame_169.zeroDeg.bin] Took 0.106496 ms.
[frame_170.zeroDeg.bin] Took 0.108128 ms.
[frame_171.zeroDeg.bin] Took 0.122176 ms.
[frame_172.zeroDeg.bin] Took 0.108192 ms.
[frame_173.zeroDeg.bin] Took 0.105952 ms.
[frame_174.zeroDeg.bin] Took 0.106592 ms.
[frame_175.zeroDeg.bin] Took 0.107392 ms.
[frame_176.zeroDeg.bin] Took 0.141056 ms.
[frame_177.zeroDeg.bin] Took 0.108544 ms.
[frame_178.zeroDeg.bin] Took 0.077824 ms.
[frame_179.zeroDeg.bin] Took 0.106560 ms.
[frame_180.zeroDeg.bin] Took 0.106496 ms.
[frame_181.zeroDeg.bin] Took 0.118976 ms.
[frame_182.zeroDeg.bin] Took 0.112704 ms.
[frame_183.zeroDeg.bin] Took 0.106560 ms.
[frame_184.zeroDeg.bin] Took 0.107776 ms.
[frame_185.zeroDeg.bin] Took 0.106912 ms.
[frame_186.zeroDeg.bin] Took 0.118880 ms.
[frame_187.zeroDeg.bin] Took 0.106624 ms.
[frame_188.zeroDeg.bin] Took 0.106688 ms.
[frame_189.zeroDeg.bin] Took 0.106496 ms.
[frame_190.zeroDeg.bin] Took 0.106080 ms.
[frame_191.zeroDeg.bin] Took 0.116832 ms.
[frame_192.zeroDeg.bin] Took 0.107680 ms.
[frame_193.zeroDeg.bin] Took 0.104480 ms.
[frame_194.zeroDeg.bin] Took 0.106880 ms.
[frame_195.zeroDeg.bin] Took 0.108960 ms.
[frame_196.zeroDeg.bin] Took 0.165312 ms.
[frame_197.zeroDeg.bin] Took 0.109984 ms.
[frame_198.zeroDeg.bin] Took 0.109728 ms.
[frame_199.zeroDeg.bin] Took 0.107488 ms.
[frame_200.zeroDeg.bin] Took 0.107392 ms.
[frame_201.zeroDeg.bin] Took 0.108544 ms.
[frame_202.zeroDeg.bin] Took 0.106144 ms.
[frame_203.zeroDeg.bin] Took 0.106016 ms.
[frame_204.zeroDeg.bin] Took 0.107136 ms.
[frame_205.zeroDeg.bin] Took 0.106688 ms.
[frame_206.zeroDeg.bin] Took 0.083776 ms.
[frame_207.zeroDeg.bin] Took 0.108256 ms.
[frame_208.zeroDeg.bin] Took 0.109408 ms.
[frame_209.zeroDeg.bin] Took 0.076704 ms.
[frame_210.zeroDeg.bin] Took 0.106496 ms.
[frame_211.zeroDeg.bin] Took 0.118432 ms.
[frame_212.zeroDeg.bin] Took 0.107584 ms.
[frame_213.zeroDeg.bin] Took 0.106624 ms.
[frame_214.zeroDeg.bin] Took 0.109088 ms.
[frame_215.zeroDeg.bin] Took 0.078784 ms.
[frame_216.zeroDeg.bin] Took 0.080416 ms.
[frame_217.zeroDeg.bin] Took 0.108064 ms.
[frame_218.zeroDeg.bin] Took 0.106304 ms.
[frame_219.zeroDeg.bin] Took 0.106496 ms.
[frame_220.zeroDeg.bin] Took 0.106368 ms.
[frame_221.zeroDeg.bin] Took 0.108416 ms.
[frame_222.zeroDeg.bin] Took 0.107680 ms.
[frame_223.zeroDeg.bin] Took 0.107680 ms.
[frame_224.zeroDeg.bin] Took 0.105312 ms.
