
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0

Using UVM input data.
[frame_200.zeroDeg.bin] Took 0.102464 ms.
[frame_201.zeroDeg.bin] Took 0.103936 ms.
[frame_202.zeroDeg.bin] Took 0.103136 ms.
[frame_203.zeroDeg.bin] Took 0.104032 ms.
[frame_204.zeroDeg.bin] Took 0.103584 ms.
[frame_205.zeroDeg.bin] Took 0.103616 ms.
[frame_206.zeroDeg.bin] Took 0.102688 ms.
[frame_207.zeroDeg.bin] Took 0.112640 ms.
[frame_208.zeroDeg.bin] Took 0.103680 ms.
[frame_209.zeroDeg.bin] Took 0.116160 ms.
[frame_210.zeroDeg.bin] Took 0.107136 ms.
[frame_211.zeroDeg.bin] Took 0.102432 ms.
[frame_212.zeroDeg.bin] Took 0.101696 ms.
[frame_213.zeroDeg.bin] Took 0.101728 ms.
[frame_214.zeroDeg.bin] Took 0.102400 ms.
[frame_215.zeroDeg.bin] Took 0.101632 ms.
[frame_216.zeroDeg.bin] Took 0.100352 ms.
[frame_217.zeroDeg.bin] Took 0.100640 ms.
[frame_218.zeroDeg.bin] Took 0.102112 ms.
[frame_219.zeroDeg.bin] Took 0.101024 ms.
[frame_220.zeroDeg.bin] Took 0.101824 ms.
[frame_221.zeroDeg.bin] Took 0.102400 ms.
[frame_222.zeroDeg.bin] Took 0.139584 ms.
[frame_223.zeroDeg.bin] Took 0.100352 ms.
[frame_224.zeroDeg.bin] Took 0.102400 ms.
[frame_225.zeroDeg.bin] Took 0.100224 ms.
[frame_226.zeroDeg.bin] Took 0.117472 ms.
[frame_227.zeroDeg.bin] Took 0.101600 ms.
[frame_228.zeroDeg.bin] Took 0.111840 ms.
[frame_229.zeroDeg.bin] Took 0.100896 ms.
[frame_230.zeroDeg.bin] Took 0.101056 ms.
[frame_231.zeroDeg.bin] Took 0.100320 ms.
[frame_232.zeroDeg.bin] Took 0.100352 ms.
[frame_233.zeroDeg.bin] Took 0.099296 ms.
[frame_234.zeroDeg.bin] Took 0.100128 ms.
[frame_235.zeroDeg.bin] Took 0.121824 ms.
[frame_236.zeroDeg.bin] Took 0.100352 ms.
[frame_237.zeroDeg.bin] Took 0.101696 ms.
[frame_238.zeroDeg.bin] Took 0.100352 ms.
[frame_239.zeroDeg.bin] Took 0.099776 ms.
[frame_240.zeroDeg.bin] Took 0.100352 ms.
[frame_241.zeroDeg.bin] Took 0.110336 ms.
[frame_242.zeroDeg.bin] Took 0.102048 ms.
[frame_243.zeroDeg.bin] Took 0.115840 ms.
[frame_244.zeroDeg.bin] Took 0.100768 ms.
[frame_245.zeroDeg.bin] Took 0.100416 ms.
[frame_246.zeroDeg.bin] Took 0.098912 ms.
[frame_247.zeroDeg.bin] Took 0.100192 ms.
[frame_248.zeroDeg.bin] Took 0.100352 ms.
[frame_249.zeroDeg.bin] Took 0.099200 ms.
[frame_250.zeroDeg.bin] Took 0.100672 ms.
[frame_251.zeroDeg.bin] Took 0.100352 ms.
[frame_252.zeroDeg.bin] Took 0.101536 ms.
[frame_253.zeroDeg.bin] Took 0.100064 ms.
[frame_254.zeroDeg.bin] Took 0.104000 ms.
[frame_255.zeroDeg.bin] Took 0.099776 ms.
[frame_256.zeroDeg.bin] Took 0.109184 ms.
[frame_257.zeroDeg.bin] Took 0.100160 ms.
[frame_258.zeroDeg.bin] Took 0.099808 ms.
[frame_259.zeroDeg.bin] Took 0.100352 ms.
[frame_260.zeroDeg.bin] Took 0.100352 ms.
[frame_261.zeroDeg.bin] Took 0.100736 ms.
[frame_262.zeroDeg.bin] Took 0.102304 ms.
[frame_263.zeroDeg.bin] Took 0.101408 ms.
[frame_264.zeroDeg.bin] Took 0.100480 ms.
[frame_265.zeroDeg.bin] Took 0.102080 ms.
[frame_266.zeroDeg.bin] Took 0.100448 ms.
[frame_267.zeroDeg.bin] Took 0.102080 ms.
[frame_268.zeroDeg.bin] Took 0.100928 ms.
[frame_269.zeroDeg.bin] Took 0.100224 ms.
[frame_270.zeroDeg.bin] Took 0.102368 ms.
[frame_271.zeroDeg.bin] Took 0.100736 ms.
[frame_272.zeroDeg.bin] Took 0.100352 ms.
