
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0
[frame_234.zeroDeg.bin] Took 0.105952 ms.
[frame_235.zeroDeg.bin] Took 0.105664 ms.
[frame_236.zeroDeg.bin] Took 0.104672 ms.
[frame_237.zeroDeg.bin] Took 0.108288 ms.
[frame_238.zeroDeg.bin] Took 0.118784 ms.
[frame_239.zeroDeg.bin] Took 0.106656 ms.
[frame_240.zeroDeg.bin] Took 0.108672 ms.
[frame_241.zeroDeg.bin] Took 0.105824 ms.
[frame_242.zeroDeg.bin] Took 0.108384 ms.
[frame_243.zeroDeg.bin] Took 0.110656 ms.
[frame_244.zeroDeg.bin] Took 0.106496 ms.
[frame_245.zeroDeg.bin] Took 0.106112 ms.
[frame_246.zeroDeg.bin] Took 0.098304 ms.
[frame_247.zeroDeg.bin] Took 0.127776 ms.
[frame_248.zeroDeg.bin] Took 0.109088 ms.
[frame_249.zeroDeg.bin] Took 0.077312 ms.
[frame_250.zeroDeg.bin] Took 0.108768 ms.
[frame_251.zeroDeg.bin] Took 0.098240 ms.
[frame_252.zeroDeg.bin] Took 0.107296 ms.
[frame_253.zeroDeg.bin] Took 0.107712 ms.
[frame_254.zeroDeg.bin] Took 0.107712 ms.
[frame_255.zeroDeg.bin] Took 0.107168 ms.
[frame_256.zeroDeg.bin] Took 0.084096 ms.
[frame_257.zeroDeg.bin] Took 0.107936 ms.
[frame_258.zeroDeg.bin] Took 0.077632 ms.
[frame_259.zeroDeg.bin] Took 0.107424 ms.
[frame_260.zeroDeg.bin] Took 0.108544 ms.
[frame_261.zeroDeg.bin] Took 0.126624 ms.
[frame_262.zeroDeg.bin] Took 0.107680 ms.
[frame_263.zeroDeg.bin] Took 0.104736 ms.
[frame_264.zeroDeg.bin] Took 0.106496 ms.
[frame_265.zeroDeg.bin] Took 0.076032 ms.
[frame_266.zeroDeg.bin] Took 0.106816 ms.
[frame_267.zeroDeg.bin] Took 0.110720 ms.
[frame_268.zeroDeg.bin] Took 0.105120 ms.
[frame_269.zeroDeg.bin] Took 0.105472 ms.
[frame_270.zeroDeg.bin] Took 0.107104 ms.
[frame_271.zeroDeg.bin] Took 0.108480 ms.
[frame_272.zeroDeg.bin] Took 0.107040 ms.
[frame_273.zeroDeg.bin] Took 0.077056 ms.
[frame_274.zeroDeg.bin] Took 0.108032 ms.
[frame_275.zeroDeg.bin] Took 0.080288 ms.
[frame_276.zeroDeg.bin] Took 0.108544 ms.
[frame_277.zeroDeg.bin] Took 0.076704 ms.
[frame_278.zeroDeg.bin] Took 0.106528 ms.
[frame_279.zeroDeg.bin] Took 0.105568 ms.
[frame_280.zeroDeg.bin] Took 0.109664 ms.
Took 74.570480 ms to process 281 frames.
ms per Frame: 0.265375, FPS: 3768.247314.
Used GPU implementation.
