
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0
[frame_103.zeroDeg.bin] Took 0.107904 ms.
[frame_104.zeroDeg.bin] Took 0.126784 ms.
[frame_105.zeroDeg.bin] Took 0.103296 ms.
[frame_106.zeroDeg.bin] Took 0.110528 ms.
[frame_107.zeroDeg.bin] Took 0.081120 ms.
[frame_108.zeroDeg.bin] Took 0.110432 ms.
[frame_109.zeroDeg.bin] Took 0.115168 ms.
[frame_110.zeroDeg.bin] Took 0.107328 ms.
[frame_111.zeroDeg.bin] Took 0.105984 ms.
[frame_112.zeroDeg.bin] Took 0.103136 ms.
[frame_113.zeroDeg.bin] Took 0.106496 ms.
[frame_114.zeroDeg.bin] Took 0.114688 ms.
[frame_115.zeroDeg.bin] Took 0.106848 ms.
[frame_116.zeroDeg.bin] Took 0.108352 ms.
[frame_117.zeroDeg.bin] Took 0.108608 ms.
[frame_118.zeroDeg.bin] Took 0.106272 ms.
[frame_119.zeroDeg.bin] Took 0.118464 ms.
[frame_120.zeroDeg.bin] Took 0.107104 ms.
[frame_121.zeroDeg.bin] Took 0.104288 ms.
[frame_122.zeroDeg.bin] Took 0.107424 ms.
[frame_123.zeroDeg.bin] Took 0.108544 ms.
[frame_124.zeroDeg.bin] Took 0.077792 ms.
[frame_125.zeroDeg.bin] Took 0.107552 ms.
[frame_126.zeroDeg.bin] Took 0.107520 ms.
[frame_127.zeroDeg.bin] Took 0.108544 ms.
[frame_128.zeroDeg.bin] Took 0.075904 ms.
[frame_129.zeroDeg.bin] Took 0.126976 ms.
[frame_130.zeroDeg.bin] Took 0.106560 ms.
[frame_131.zeroDeg.bin] Took 0.101056 ms.
[frame_132.zeroDeg.bin] Took 0.104544 ms.
[frame_133.zeroDeg.bin] Took 0.116928 ms.
[frame_134.zeroDeg.bin] Took 0.126976 ms.
[frame_135.zeroDeg.bin] Took 0.103936 ms.
[frame_136.zeroDeg.bin] Took 0.104288 ms.
[frame_137.zeroDeg.bin] Took 0.101632 ms.
[frame_138.zeroDeg.bin] Took 0.138976 ms.
[frame_139.zeroDeg.bin] Took 0.118880 ms.
[frame_140.zeroDeg.bin] Took 0.102400 ms.
[frame_141.zeroDeg.bin] Took 0.104384 ms.
[frame_142.zeroDeg.bin] Took 0.104448 ms.
[frame_143.zeroDeg.bin] Took 0.130720 ms.
[frame_144.zeroDeg.bin] Took 0.108128 ms.
[frame_145.zeroDeg.bin] Took 0.103456 ms.
[frame_146.zeroDeg.bin] Took 0.099392 ms.
[frame_147.zeroDeg.bin] Took 0.104032 ms.
[frame_148.zeroDeg.bin] Took 0.144960 ms.
[frame_149.zeroDeg.bin] Took 0.108864 ms.
[frame_150.zeroDeg.bin] Took 0.104448 ms.
[frame_151.zeroDeg.bin] Took 0.104000 ms.
[frame_152.zeroDeg.bin] Took 0.104448 ms.
[frame_153.zeroDeg.bin] Took 0.136768 ms.
[frame_154.zeroDeg.bin] Took 0.106016 ms.
[frame_155.zeroDeg.bin] Took 0.100256 ms.
[frame_156.zeroDeg.bin] Took 0.103648 ms.
[frame_157.zeroDeg.bin] Took 0.104480 ms.
[frame_158.zeroDeg.bin] Took 0.122688 ms.
[frame_159.zeroDeg.bin] Took 0.104768 ms.
[frame_160.zeroDeg.bin] Took 0.101184 ms.
[frame_161.zeroDeg.bin] Took 0.103168 ms.
[frame_162.zeroDeg.bin] Took 0.103360 ms.
[frame_163.zeroDeg.bin] Took 0.104480 ms.
[frame_164.zeroDeg.bin] Took 0.106496 ms.
[frame_165.zeroDeg.bin] Took 0.130272 ms.
[frame_166.zeroDeg.bin] Took 0.100352 ms.
[frame_167.zeroDeg.bin] Took 0.100512 ms.
[frame_168.zeroDeg.bin] Took 0.099680 ms.
[frame_169.zeroDeg.bin] Took 0.108992 ms.
[frame_170.zeroDeg.bin] Took 0.126976 ms.
[frame_171.zeroDeg.bin] Took 0.103808 ms.
[frame_172.zeroDeg.bin] Took 0.103456 ms.
[frame_173.zeroDeg.bin] Took 0.104128 ms.
[frame_174.zeroDeg.bin] Took 0.107584 ms.
[frame_175.zeroDeg.bin] Took 0.132608 ms.
[frame_176.zeroDeg.bin] Took 0.104544 ms.
[frame_177.zeroDeg.bin] Took 0.105536 ms.
[frame_178.zeroDeg.bin] Took 0.104160 ms.
[frame_179.zeroDeg.bin] Took 0.106688 ms.
[frame_180.zeroDeg.bin] Took 0.112032 ms.
[frame_181.zeroDeg.bin] Took 0.104224 ms.
[frame_182.zeroDeg.bin] Took 0.102976 ms.
[frame_183.zeroDeg.bin] Took 0.104224 ms.
[frame_184.zeroDeg.bin] Took 0.120928 ms.
[frame_185.zeroDeg.bin] Took 0.106752 ms.
[frame_186.zeroDeg.bin] Took 0.103040 ms.
[frame_187.zeroDeg.bin] Took 0.104256 ms.
[frame_188.zeroDeg.bin] Took 0.102656 ms.
[frame_189.zeroDeg.bin] Took 0.115552 ms.
[frame_190.zeroDeg.bin] Took 0.105504 ms.
[frame_191.zeroDeg.bin] Took 0.115584 ms.
[frame_192.zeroDeg.bin] Took 0.103040 ms.
[frame_193.zeroDeg.bin] Took 0.104128 ms.
[frame_194.zeroDeg.bin] Took 0.102624 ms.
[frame_195.zeroDeg.bin] Took 0.107680 ms.
[frame_196.zeroDeg.bin] Took 0.114528 ms.
[frame_197.zeroDeg.bin] Took 0.103328 ms.
[frame_198.zeroDeg.bin] Took 0.105568 ms.
[frame_199.zeroDeg.bin] Took 0.103424 ms.
[frame_200.zeroDeg.bin] Took 0.108128 ms.
[frame_201.zeroDeg.bin] Took 0.116608 ms.
[frame_202.zeroDeg.bin] Took 0.104288 ms.
[frame_203.zeroDeg.bin] Took 0.103040 ms.
[frame_204.zeroDeg.bin] Took 0.103904 ms.
[frame_205.zeroDeg.bin] Took 0.126400 ms.
[frame_206.zeroDeg.bin] Took 0.103712 ms.
[frame_207.zeroDeg.bin] Took 0.102464 ms.
[frame_208.zeroDeg.bin] Took 0.104352 ms.
[frame_209.zeroDeg.bin] Took 0.104288 ms.
[frame_210.zeroDeg.bin] Took 0.122176 ms.
[frame_211.zeroDeg.bin] Took 0.108544 ms.
[frame_212.zeroDeg.bin] Took 0.104064 ms.
[frame_213.zeroDeg.bin] Took 0.104192 ms.
[frame_214.zeroDeg.bin] Took 0.103680 ms.
[frame_215.zeroDeg.bin] Took 0.116736 ms.
[frame_216.zeroDeg.bin] Took 0.105696 ms.
[frame_217.zeroDeg.bin] Took 0.115968 ms.
[frame_218.zeroDeg.bin] Took 0.102560 ms.
[frame_219.zeroDeg.bin] Took 0.116160 ms.
[frame_220.zeroDeg.bin] Took 0.131616 ms.
[frame_221.zeroDeg.bin] Took 0.106880 ms.
[frame_222.zeroDeg.bin] Took 0.104448 ms.
[frame_223.zeroDeg.bin] Took 0.104032 ms.
[frame_224.zeroDeg.bin] Took 0.104736 ms.
[frame_225.zeroDeg.bin] Took 0.101312 ms.
[frame_226.zeroDeg.bin] Took 0.107584 ms.
[frame_227.zeroDeg.bin] Took 0.115328 ms.
[frame_228.zeroDeg.bin] Took 0.105760 ms.
[frame_229.zeroDeg.bin] Took 0.103456 ms.
[frame_230.zeroDeg.bin] Took 0.099712 ms.
